Implementing High Performance Multicast in a Managed Environment Krzysztof Ostrowski |
in collaborative work adapting existing systems to cope with periods |
multicast platforms we ve worked with in the past systems |
able to handle high loads or sudden demand bursts and |
collaborative work adapting existing systems to cope with periods of |
platforms we ve worked with in the past systems that |
I NTRODUCTION T A conference version of this paper appeared |
to handle high loads or sudden demand bursts and a |
work adapting existing systems to cope with periods of low |
We demonstrate through simulation that our approach can successfully detect |
we ve worked with in the past systems that run |
NTRODUCTION T A conference version of this paper appeared in |
handle high loads or sudden demand bursts and a vast |
adapting existing systems to cope with periods of low bandwidth |
demonstrate through simulation that our approach can successfully detect and |
ve worked with in the past systems that run in |
T A conference version of this paper appeared in NSDI |
high loads or sudden demand bursts and a vast number |
particularly when wireless and wired users share in a style |
worked with in the past systems that run in unmanaged |
through simulation that our approach can successfully detect and react |
loads or sudden demand bursts and a vast number of |
when wireless and wired users share in a style which |
with in the past systems that run in unmanaged settings |
simulation that our approach can successfully detect and react to |
or sudden demand bursts and a vast number of users |
wireless and wired users share in a style which we |
that our approach can successfully detect and react to the |
and wired users share in a style which we will |
our approach can successfully detect and react to the presence |
They must reliably respond even in the event of failures |
wired users share in a style which we will refer |
approach can successfully detect and react to the presence of |
must reliably respond even in the event of failures or |
users share in a style which we will refer to |
we use QSM in a series of experiments that highlight |
can successfully detect and react to the presence of opportunistic |
reliably respond even in the event of failures or reconfiguration |
share in a style which we will refer to as |
use QSM in a series of experiments that highlight fundamental |
successfully detect and react to the presence of opportunistic nodes |
in a style which we will refer to as modal |
QSM in a series of experiments that highlight fundamental factors |
detect and react to the presence of opportunistic nodes in |
a style which we will refer to as modal adaptation |
managed and automate as many routine services such as backups |
and react to the presence of opportunistic nodes in streaming |
These reveal linkages between achievable performance and the costs and |
HE emergence of commodity clusters and data centers has enabled |
and automate as many routine services such as backups and |
react to the presence of opportunistic nodes in streaming sessions |
reveal linkages between achievable performance and the costs and characteristics |
emergence of commodity clusters and data centers has enabled a |
automate as many routine services such as backups and component |
linkages between achievable performance and the costs and characteristics of |
of commodity clusters and data centers has enabled a new |
when for adapting data access to network variability in the |
as many routine services such as backups and component upgrades |
between achievable performance and the costs and characteristics of the |
commodity clusters and data centers has enabled a new class |
for adapting data access to network variability in the context |
many routine services such as backups and component upgrades as |
achievable performance and the costs and characteristics of the managed |
clusters and data centers has enabled a new class of |
adapting data access to network variability in the context of |
INTRODUCTION Video and audio streaming account for a large percentage |
routine services such as backups and component upgrades as possible |
performance and the costs and characteristics of the managed framework |
and data centers has enabled a new class of globally |
data access to network variability in the context of bandwidth |
Video and audio streaming account for a large percentage of |
Many settings also require security against attempted intrusions and distributed |
data centers has enabled a new class of globally distributed |
access to network variability in the context of bandwidth falls |
Doing so sheds light on the challenges of working in |
and audio streaming account for a large percentage of content |
settings also require security against attempted intrusions and distributed denial |
centers has enabled a new class of globally distributed highperformance |
to network variability in the context of bandwidth falls below |
so sheds light on the challenges of working in a |
audio streaming account for a large percentage of content accessed |
has enabled a new class of globally distributed highperformance applications |
network variability in the context of bandwidth falls below a |
sheds light on the challenges of working in a kind |
streaming account for a large percentage of content accessed over |
enabled a new class of globally distributed highperformance applications that |
variability in the context of bandwidth falls below a threshold |
light on the challenges of working in a kind of |
account for a large percentage of content accessed over the |
a new class of globally distributed highperformance applications that coordinate |
on the challenges of working in a kind of environment |
for a large percentage of content accessed over the web |
new class of globally distributed highperformance applications that coordinate over |
the challenges of working in a kind of environment that |
One popular style of streaming on the web is on |
class of globally distributed highperformance applications that coordinate over vast |
the second builds on the first and supports a way |
We bandwidth mode in which communication is restricted or deshow |
challenges of working in a kind of environment that will |
popular style of streaming on the web is on demand |
of globally distributed highperformance applications that coordinate over vast geographical |
second builds on the first and supports a way to |
bandwidth mode in which communication is restricted or deshow how |
of working in a kind of environment that will be |
globally distributed highperformance applications that coordinate over vast geographical distances |
Another style requires streams to be generated and disseminated in |
mode in which communication is restricted or deshow how MFS |
working in a kind of environment that will be more |
builds on the first and supports a way to build |
style requires streams to be generated and disseminated in real |
in which communication is restricted or deshow how MFS is |
in a kind of environment that will be more and |
a financial firm s New York City data center may |
on the first and supports a way to build scripts |
which communication is restricted or deshow how MFS is able |
a kind of environment that will be more and more |
financial firm s New York City data center may receive |
the first and supports a way to build scripts of |
communication is restricted or deshow how MFS is able to |
kind of environment that will be more and more prevalent |
firm s New York City data center may receive real |
first and supports a way to build scripts of simpler |
is restricted or deshow how MFS is able to adapt |
of environment that will be more and more prevalent in |
and supports a way to build scripts of simpler transactions |
restricted or deshow how MFS is able to adapt to |
interested users ideally want to receive the stream without much |
cache data in London for locality and mirror it to |
or deshow how MFS is able to adapt to widely |
environment that will be more and more prevalent in years |
users ideally want to receive the stream without much delay |
Some might argue that all reliability needs can be recast |
data in London for locality and mirror it to Kansas |
deshow how MFS is able to adapt to widely varying |
that will be more and more prevalent in years to |
ideally want to receive the stream without much delay from |
might argue that all reliability needs can be recast in |
in London for locality and mirror it to Kansas for |
how MFS is able to adapt to widely varying bandwidth |
will be more and more prevalent in years to come |
want to receive the stream without much delay from its |
argue that all reliability needs can be recast in terms |
London for locality and mirror it to Kansas for disaster |
MFS is able to adapt to widely varying bandwidth ferred |
to receive the stream without much delay from its original |
Our insights should be of value to developers of other |
that all reliability needs can be recast in terms of |
receive the stream without much delay from its original transmission |
insights should be of value to developers of other high |
all reliability needs can be recast in terms of transactions |
an application has a small number of levels through the |
application has a small number of levels through the use |
streaming systems now allow large numbers of interested users to |
has a small number of levels through the use of |
the past three decades have seen one failed attempt after |
systems now allow large numbers of interested users to receive |
Raw bandwidth is ubiquitous and cheaply available in the form |
a small number of levels through the use of modeless |
past three decades have seen one failed attempt after another |
now allow large numbers of interested users to receive streamed |
bandwidth is ubiquitous and cheaply available in the form of |
small number of levels through the use of modeless adaptation |
three decades have seen one failed attempt after another to |
allow large numbers of interested users to receive streamed data |
is ubiquitous and cheaply available in the form of existing |
as an extension of the component integration features of the |
decades have seen one failed attempt after another to build |
and evaluate the possible modes and chooses the appropriate one |
large numbers of interested users to receive streamed data in |
ubiquitous and cheaply available in the form of existing dark |
an extension of the component integration features of the Microsoft |
have seen one failed attempt after another to build everything |
evaluate the possible modes and chooses the appropriate one based |
numbers of interested users to receive streamed data in near |
and cheaply available in the form of existing dark fiber |
seen one failed attempt after another to build everything over |
the possible modes and chooses the appropriate one based on |
of interested users to receive streamed data in near real |
one failed attempt after another to build everything over a |
possible modes and chooses the appropriate one based on the |
interested users to receive streamed data in near real time |
failed attempt after another to build everything over a database |
experiments reveal a series of problematic interactions between its high |
modes and chooses the appropriate one based on the benefit |
attempt after another to build everything over a database system |
and chooses the appropriate one based on the benefit of |
chooses the appropriate one based on the benefit of mechanisms |
and it s now clear that many kinds of systems |
the appropriate one based on the benefit of mechanisms for |
it s now clear that many kinds of systems just |
appropriate one based on the benefit of mechanisms for improving |
s now clear that many kinds of systems just don |
one based on the benefit of mechanisms for improving file |
now clear that many kinds of systems just don t |
based on the benefit of mechanisms for improving file system |
We addressed these and achieved high performance by making some |
clear that many kinds of systems just don t match |
where nodes interested in receiving data also help disseminate it |
on the benefit of mechanisms for improving file system performance |
addressed these and achieved high performance by making some unusual |
that many kinds of systems just don t match the |
nodes interested in receiving data also help disseminate it to |
the benefit of mechanisms for improving file system performance currently |
these and achieved high performance by making some unusual architectural |
many kinds of systems just don t match the model |
interested in receiving data also help disseminate it to each |
benefit of mechanisms for improving file system performance currently available |
These intrinsically distributed systems make use of direct communication between |
in receiving data also help disseminate it to each other |
and achieved high performance by making some unusual architectural decisions |
of mechanisms for improving file system performance currently available bandwidth |
intrinsically distributed systems make use of direct communication between programs |
distributed systems make use of direct communication between programs via |
systems make use of direct communication between programs via the |
make use of direct communication between programs via the Trans |
in the Coda file and cache consistency using microbenchmarks and |
based overlay of nodes through which data would be pushed |
the Coda file and cache consistency using microbenchmarks and file |
Coda file and cache consistency using microbenchmarks and file system |
file and cache consistency using microbenchmarks and file system system |
today s Web services standards seem to answer these needs |
have shown that the use of a mesh of connected |
shown that the use of a mesh of connected nodes |
that the use of a mesh of connected nodes and |
the use of a mesh of connected nodes and a |
use of a mesh of connected nodes and a pull |
based data dissemination approach can provide similar results with better |
data dissemination approach can provide similar results with better resilience |
a new multicast platform designed to achieve high performance in |
dissemination approach can provide similar results with better resilience to |
new multicast platform designed to achieve high performance in managed |
which affects the policy for writing changes to files back |
Reliability provides for reliable handoff between a client system and |
approach can provide similar results with better resilience to failures |
multicast platform designed to achieve high performance in managed environments |
affects the policy for writing changes to files back to |
provides for reliable handoff between a client system and a |
can provide similar results with better resilience to failures and |
the policy for writing changes to files back to the |
Memoryrelated overheads and phenomena related to scheduling are shown to |
for reliable handoff between a client system and a queuing |
provide similar results with better resilience to failures and churn |
policy for writing changes to files back to the server |
overheads and phenomena related to scheduling are shown to dominate |
reliable handoff between a client system and a queuing system |
and phenomena related to scheduling are shown to dominate the |
handoff between a client system and a queuing system residing |
phenomena related to scheduling are shown to dominate the behavior |
between a client system and a queuing system residing between |
related to scheduling are shown to dominate the behavior of |
a client system and a queuing system residing between the |
to scheduling are shown to dominate the behavior of the |
such as switching network access from an Ethernet to a |
client system and a queuing system residing between the client |
scheduling are shown to dominate the behavior of the system |
as switching network access from an Ethernet to a modem |
system and a queuing system residing between the client and |
and request packets from their neighbors based on the received |
but Mobility is now an major feature of computer systems |
We discuss techniques that helped us to alleviate these problems |
and a queuing system residing between the client and some |
request packets from their neighbors based on the received notifications |
a queuing system residing between the client and some service |
and argue that they reveal general principles applicable to other |
argue that they reveal general principles applicable to other kinds |
held devices capable of wireless availability is less predictable and |
the standard isn t nearly as comprehensive as the name |
that they reveal general principles applicable to other kinds of |
where they are used to disseminate television channels to thousands |
devices capable of wireless availability is less predictable and varies |
standard isn t nearly as comprehensive as the name implies |
they reveal general principles applicable to other kinds of high |
they are used to disseminate television channels to thousands of |
capable of wireless availability is less predictable and varies over |
are used to disseminate television channels to thousands of users |
of wireless availability is less predictable and varies over a |
wireless availability is less predictable and varies over a larger |
IP has three major problems when used over such networks |
availability is less predictable and varies over a larger possible |
Reliability boils down to a few options that a client |
Introduction A component integration revolution is transforming the development of |
is less predictable and varies over a larger possible network |
P paradigm allows systems to scale with the number of |
boils down to a few options that a client can |
A component integration revolution is transforming the development of desktop |
less predictable and varies over a larger possible network access |
IP suffers throughput collapse if the network is even slightly |
paradigm allows systems to scale with the number of users |
down to a few options that a client can use |
component integration revolution is transforming the development of desktop applications |
predictable and varies over a larger possible network access have |
suffers throughput collapse if the network is even slightly prone |
to a few options that a client can use to |
and varies over a larger possible network access have become |
Opportunistic nodes attempt to receive a stream without uploading their |
throughput collapse if the network is even slightly prone to |
a few options that a client can use to tell |
varies over a larger possible network access have become common |
nodes attempt to receive a stream without uploading their fair |
EE promote an application development style in which components are |
collapse if the network is even slightly prone to packet |
few options that a client can use to tell the |
attempt to receive a stream without uploading their fair share |
promote an application development style in which components are implemented |
if the network is even slightly prone to packet loss |
options that a client can use to tell the queuing |
to receive a stream without uploading their fair share of |
Applications that run on hosts in wireless neting on how |
an application development style in which components are implemented independently |
that a client can use to tell the queuing system |
Conservative flow control mechanisms designed to deal with the systematic |
receive a stream without uploading their fair share of data |
that run on hosts in wireless neting on how much |
application development style in which components are implemented independently and |
a client can use to tell the queuing system whether |
flow control mechanisms designed to deal with the systematic congestion |
run on hosts in wireless neting on how much data |
development style in which components are implemented independently and heavily |
client can use to tell the queuing system whether or |
control mechanisms designed to deal with the systematic congestion of |
on hosts in wireless neting on how much data the |
not much work has been done in studying mechanisms to |
style in which components are implemented independently and heavily reused |
can use to tell the queuing system whether or not |
mechanisms designed to deal with the systematic congestion of the |
hosts in wireless neting on how much data the application |
much work has been done in studying mechanisms to avoid |
use to tell the queuing system whether or not to |
designed to deal with the systematic congestion of the commodity |
in wireless neting on how much data the application is |
work has been done in studying mechanisms to avoid their |
to tell the queuing system whether or not to reissue |
to deal with the systematic congestion of the commodity Internet |
wireless neting on how much data the application is trying |
has been done in studying mechanisms to avoid their presence |
tell the queuing system whether or not to reissue a |
deal with the systematic congestion of the commodity Internet react |
neting on how much data the application is trying to |
been done in studying mechanisms to avoid their presence in |
the queuing system whether or not to reissue a request |
with the systematic congestion of the commodity Internet react too |
on how much data the application is trying to send |
done in studying mechanisms to avoid their presence in live |
our project is interested in leveraging these benefits to help |
queuing system whether or not to reissue a request if |
the systematic congestion of the commodity Internet react too sharply |
so that works must cope with constraints on access to |
The goal of this The authors were supported by AFRL |
system whether or not to reissue a request if a |
systematic congestion of the commodity Internet react too sharply to |
project is interested in leveraging these benefits to help developers |
that works must cope with constraints on access to data |
goal of this The authors were supported by AFRL award |
whether or not to reissue a request if a failure |
is interested in leveraging these benefits to help developers implement |
works must cope with constraints on access to data that |
of this The authors were supported by AFRL award FA |
or not to reissue a request if a failure occurs |
interested in leveraging these benefits to help developers implement robust |
must cope with constraints on access to data that are |
in leveraging these benefits to help developers implement robust and |
and a way to timestamp requests so that a service |
cope with constraints on access to data that are genit |
leveraging these benefits to help developers implement robust and scalable |
a way to timestamp requests so that a service can |
provisioned links a single packet in ten thousand is enough |
with constraints on access to data that are genit may |
these benefits to help developers implement robust and scalable computing |
way to timestamp requests so that a service can detect |
links a single packet in ten thousand is enough to |
constraints on access to data that are genit may make |
benefits to help developers implement robust and scalable computing services |
to timestamp requests so that a service can detect duplicates |
a single packet in ten thousand is enough to reduce |
on access to data that are genit may make sense |
to help developers implement robust and scalable computing services that |
single packet in ten thousand is enough to reduce TCP |
access to data that are genit may make sense to |
help developers implement robust and scalable computing services that will |
to data that are genit may make sense to adjust |
developers implement robust and scalable computing services that will run |
data that are genit may make sense to adjust network |
implement robust and scalable computing services that will run on |
One is aimed at applications that perform database transactions with |
that are genit may make sense to adjust network usage |
and one in a thousand drops it by an order |
robust and scalable computing services that will run on clusters |
is aimed at applications that perform database transactions with the |
are genit may make sense to adjust network usage when |
one in a thousand drops it by an order of |
and scalable computing services that will run on clusters or |
aimed at applications that perform database transactions with the usual |
genit may make sense to adjust network usage when the |
in a thousand drops it by an order of magnitude |
scalable computing services that will run on clusters or in |
at applications that perform database transactions with the usual ACID |
may make sense to adjust network usage when the bandwidth |
computing services that will run on clusters or in datacenters |
make sense to adjust network usage when the bandwidth erally |
time or interactive applications are impacted by the reliance of |
sense to adjust network usage when the bandwidth erally not |
or interactive applications are impacted by the reliance of reliability |
to adjust network usage when the bandwidth erally not present |
adjust network usage when the bandwidth erally not present in |
interactive applications are impacted by the reliance of reliability mechanisms |
Early users of our platform are creating applications in areas |
network usage when the bandwidth erally not present in wired |
applications are impacted by the reliance of reliability mechanisms on |
users of our platform are creating applications in areas such |
usage when the bandwidth erally not present in wired networks |
or the Remote Procedure Call and that can t tolerate |
are impacted by the reliance of reliability mechanisms on acknowledgments |
of our platform are creating applications in areas such as |
the Remote Procedure Call and that can t tolerate delay |
impacted by the reliance of reliability mechanisms on acknowledgments and |
our platform are creating applications in areas such as parallelized |
by the reliance of reliability mechanisms on acknowledgments and retransmissions |
These systems lack databases clean separation of stored data from |
platform are creating applications in areas such as parallelized data |
systems lack databases clean separation of stored data from code |
limiting the latency of packet recovery to at least the |
are creating applications in areas such as parallelized data mining |
contention with other hosts or processes on the same host |
the latency of packet recovery to at least the Round |
and any attempt to force them into that model results |
latency of packet recovery to at least the Round Trip |
any attempt to force them into that model results in |
Selecting a mode according to the available bandwidth can uninterference |
of packet recovery to at least the Round Trip Time |
Developers of clustered services need reliable multicast protocols for data |
attempt to force them into that model results in unacceptable |
of clustered services need reliable multicast protocols for data replication |
and switching between different wireless media all necessarily constrain communication |
to force them into that model results in unacceptable loss |
and in light of our broader goal of leveraging the |
force them into that model results in unacceptable loss of |
in light of our broader goal of leveraging the power |
since it ignores what data compound the variability in network |
them into that model results in unacceptable loss of performance |
light of our broader goal of leveraging the power and |
it ignores what data compound the variability in network performance |
of our broader goal of leveraging the power and component |
IP requires massive buffers at the communicating endhosts to fully |
ignores what data compound the variability in network performance to |
our broader goal of leveraging the power and component integration |
requires massive buffers at the communicating endhosts to fully exploit |
what data compound the variability in network performance to which |
broader goal of leveraging the power and component integration features |
massive buffers at the communicating endhosts to fully exploit the |
the existing reliability options simply don t address the requirement |
data compound the variability in network performance to which apthe |
goal of leveraging the power and component integration features of |
A LESSON FROM THE PAST What sorts of scaling and |
compound the variability in network performance to which apthe application |
buffers at the communicating endhosts to fully exploit the bandwidth |
of leveraging the power and component integration features of a |
LESSON FROM THE PAST What sorts of scaling and reliability |
the variability in network performance to which apthe application actually |
at the communicating endhosts to fully exploit the bandwidth of |
leveraging the power and component integration features of a managed |
FROM THE PAST What sorts of scaling and reliability features |
variability in network performance to which apthe application actually wants |
the communicating endhosts to fully exploit the bandwidth of a |
the power and component integration features of a managed framework |
THE PAST What sorts of scaling and reliability features are |
in network performance to which apthe application actually wants to |
communicating endhosts to fully exploit the bandwidth of a long |
The views and conclusions herein are those of the authors |
But little is known about highperformance protocols in managed environments |
network performance to which apthe application actually wants to send |
PAST What sorts of scaling and reliability features are lacking |
performance to which apthe application actually wants to send over |
What sorts of scaling and reliability features are lacking in |
to which apthe application actually wants to send over the |
sorts of scaling and reliability features are lacking in Web |
which apthe application actually wants to send over the network |
of scaling and reliability features are lacking in Web services |
where standardization is the key to low and predictable maintenance |
scaling and reliability features are lacking in Web services standards |
standardization is the key to low and predictable maintenance costs |
and reliability features are lacking in Web services standards today |
ring writing back all modifications to files may not be |
neither is eliminating loss events on a network that could |
writing back all modifications to files may not be a |
is eliminating loss events on a network that could span |
back all modifications to files may not be a sensible |
Building a server that scales to handle load often requires |
eliminating loss events on a network that could span thousands |
all modifications to files may not be a sensible This |
a server that scales to handle load often requires replicating |
loss events on a network that could span thousands of |
modifications to files may not be a sensible This paper |
server that scales to handle load often requires replicating data |
events on a network that could span thousands of miles |
to files may not be a sensible This paper focuses |
that scales to handle load often requires replicating data on |
files may not be a sensible This paper focuses on |
scales to handle load often requires replicating data on multiple |
may not be a sensible This paper focuses on adaptation |
there is a need to mask loss on the link |
to handle load often requires replicating data on multiple nodes |
not be a sensible This paper focuses on adaptation techniques |
